"OCC_CODE","cognitive_abilities","physical_abilities","psychomotor_abilities","sensory_abilities","assisting_and_caring","cramped_work_space","fine_arts","finger_dexterity","manual_dexterity","Negotiation","Originality","Persuasion","social_perceptiveness"
"47-5012",3.04881081081081,2.15555555555556,2.915,2.58583333333333,3.46,3.29,0.03,3.13,3.38,2.75,2.63,2.88,2.75
"47-5013",3.28383783783784,2.18111111111111,3.074,2.8325,5.13,4.12,0,3.12,3.12,2.38,2.38,2.62,2.75
"47-5021",2.76605405405405,1.71,3.052,2.6775,3.3,3.26,0,3,3.38,2.12,2.12,2.12,2.12
"47-5031",3.20254054054054,2.19555555555556,3.239,2.79416666666667,2.74,2.3,0.17,3.5,4.13,2.62,3,2.62,2.75
"47-5041",2.69502702702703,2.44444444444444,3.25,2.91666666666667,3.02,3.99,0.02,3.12,3.38,2.12,2.25,2.25,2.25
"47-5042",2.51264864864865,2.14222222222222,3.177,2.67833333333333,3.42,4.25,0,2.75,3.25,2.12,2.13,2.25,2.12
"47-5051",2.27313513513513,2.73555555555556,3.002,2.18916666666667,2.04,1.85,0.29,3.12,3.38,1.62,1.88,2,2.25
"47-5061",2.73248648648649,2.92888888888889,3.35,2.85416666666667,3.39,4.55,0,3.12,3.75,2.12,2.12,2.12,2.25
"47-5071",2.60475675675676,2.52777777777778,2.739,2.42833333333333,3.33,3.78,0.45,2.88,3,1.5,2,1.5,2.25
"47-5081",2.96978378378378,2.77777777777778,3.237,2.70833333333333,4.53,3.38,0,3.25,3.25,1.88,2.25,2,2.38
"49-1011",3.41118918918919,1.59666666666667,2.636,2.76083333333333,2.99,2.6,0.19,3.12,2.88,3.5,3.5,3.62,3.75
"49-2011",2.49627027027027,1.38777777777778,2.388,2.15666666666667,1.54,3.18,0.02,3.38,3.12,2.12,2.88,2.75,3
"49-2021",3.01843243243243,1.75777777777778,2.4935,2.35,2.515,3.415,0.175,3.5,3.25,2,2.375,2.185,2.435
"49-2022",2.90772972972973,2.48666666666667,2.737,2.82416666666667,2.69,3.66,0.25,3.38,3.12,2.25,2.88,2.62,2.75
"49-2091",3.02891891891892,1.5,2.275,2.27083333333333,2.81,3.13,0.47,3.75,3.25,2.25,2.75,2.75,3
"49-2092",2.90821621621622,2.02777777777778,3.175,2.67666666666667,2.56,2.91,0.19,4,3.75,1.75,2.88,2.38,2.75
"49-2093",2.992,1.88888888888889,2.276,2.24083333333333,2.4,3.91,0.9,3.5,3.12,2.12,2.25,2.75,3
"49-2094",3.09794594594595,1.97333333333333,2.889,2.79166666666667,2.46,3,0,3.88,3.5,2.5,3,2.88,2.88
"49-2095",3.0952972972973,1.92888888888889,2.476,2.4375,2.57,3.32,0,3.12,3.12,2.25,3,2.12,2.75
"49-2096",2.8132972972973,1.95777777777778,2.7,2.55333333333333,2.47,3.92,0.41,3.75,3.25,2.5,2.88,2.38,2.88
"49-2097",2.69545945945946,1.59777777777778,2.477,2.4925,2.81,2.36,0.2,3.88,3.25,2.12,2.88,2.75,2.38
"49-2098",2.72783783783784,1.91555555555556,2.312,2.35333333333333,1.62,2.94,0.01,3.25,3.12,1.88,2.75,1.88,2.88
"49-3011",3.13291891891892,2.05666666666667,3.324,2.8025,3.24,3.81,0.1,4.12,4.12,2.12,2.88,2.75,3
"49-3021",2.61967567567568,2.47222222222222,2.763,2.5525,1.93,3.54,0.7,3.25,3.25,2.12,2.38,2.25,2.88
"49-3022",2.35059459459459,1.83222222222222,2.475,2.27083333333333,1.09,3.48,0,3,3,2,2,2.12,2.62
"49-3023",2.86145945945946,2.27111111111111,3.187,2.72416666666667,2.75,3.975,0.025,3.75,3.75,2,2.56,2.37,2.375
"49-3031",2.85805405405405,2.19333333333333,2.95,2.8125,2.95,4.1,0.32,3.5,3.38,1.88,2.5,2.38,2.62
"49-3041",2.89097297297297,2.45777777777778,3.237,2.6975,2.11,4.18,0.26,3.88,3.75,1.62,2.12,2.12,2.5
"49-3042",2.98508108108108,2.70888888888889,3.425,2.81416666666667,2.87,4.49,0,3.75,4,2.12,2.88,2.5,2.75
"49-3043",2.69772972972973,2.69555555555556,3.225,2.70833333333333,2.82,3.43,0.02,3.75,3.75,2.12,2.12,2.12,2.25
"49-3051",2.7892972972973,2.04222222222222,2.701,2.56333333333333,1.82,4.15,0.17,3.5,3,1.5,2,1.62,2.62
"49-3052",2.51578378378378,1.69555555555556,2.875,2.19833333333333,1.58,2.47,0,3.75,3.88,2.12,2.88,2.62,2.62
"49-3053",2.59302702702703,1.90222222222222,2.761,2.30333333333333,2.01,3.02,0,3.62,3.12,1.62,2.12,2.12,2.38
"49-3091",2.64383783783784,1.98777777777778,2.362,1.86166666666667,3.65,2.13,0.4,3.75,3.62,2.62,2.5,2.62,3.12
"49-3092",2.71605405405405,2.36,2.687,2.59166666666667,2.77,4.11,0,3.62,3.38,2.5,2.62,2.62,2.75
"49-3093",2.57632432432432,2.23444444444444,2.698,2.15583333333333,2.3,3.51,0.19,3.12,3.12,2.12,2,2,2.25
"49-9011",2.66508108108108,2.59888888888889,2.637,2.49,2.62,3.33,0.13,3.12,3.25,2.25,2.12,2.75,2.88
"49-9012",3.01227027027027,2.06666666666667,2.525,2.41666666666667,3.27,3.65,0.03,3.12,3.12,1.88,2.75,1.75,2.75
"49-9021",3.15956756756757,2.425,2.7365,2.61875,2.655,3.85,0.025,3.315,3.125,2.185,2.75,2.75,3
"49-9031",2.73340540540541,2.13888888888889,2.574,2.38583333333333,1.73,4.1,0,3.75,3.38,2.12,2.12,2.12,2.75
"49-9041",2.80854054054054,2.27666666666667,3.389,2.85416666666667,2.07,3.89,0.19,3.75,3.88,2,2.5,2.25,2.12
"49-9043",2.7092972972973,2.12444444444444,2.674,2.2825,1.84,3.47,0.39,3.12,3.12,2.12,2.12,2.12,2.12
"49-9044",3.32,2.75111111111111,3.387,2.82333333333333,3.17,4.29,0.08,4,4,2.75,2.88,2.88,2.88
"49-9045",2.47751351351351,2.15666666666667,2.766,2.37666666666667,1.9,3.62,0.02,3.13,3.25,1.88,1.88,1.75,2.38
"49-9051",3.13378378378378,2.44444444444444,3.1,2.4175,4.4,2.69,0.06,3.5,3.38,2.5,3,3,2.88
"49-9052",2.83583783783784,2.29111111111111,2.649,2.43916666666667,2.73,3.79,0.01,3,3.12,2.12,2.38,2.25,2.88
"49-9061",2.35848648648649,0.57,1.95,1.9375,1.01,1.4,1.22,3.88,3.25,2,2.62,2.12,2.5
"49-9062",2.94610810810811,1.48666666666667,2.589,2.24916666666667,3.29,2.62,0.18,4,3.38,2.5,3,2.75,2.75
"49-9063",2.69264864864865,1.61111111111111,2.701,2.335,1.48,2.07,3.79,4.25,3.88,2.75,2.75,2.88,2.88
"49-9064",2.45308108108108,0.318888888888889,2.488,1.71916666666667,1.8,2.07,0.47,4.88,3.12,1.62,2.62,2.12,2.5
"49-9071",2.69372972972973,2.33222222222222,2.662,2.47,2.74,3.29,0.17,3.25,3.12,1.62,2.12,1.62,2.62
"49-9081",3.07108108108108,2.55444444444444,2.888,2.68666666666667,3.11,4.17,0.07,3.5,3,2,2.62,2.12,2.5
"49-9091",2.358,1.51333333333333,2.463,2.03083333333333,1.49,2.77,0.17,3.25,3.12,1.5,2,1.75,2.5
"49-9092",3.03086486486486,2.77666666666667,3,2.80083333333333,4.03,3.48,0,3.5,3.25,2.62,3,2.62,3
"49-9093",2.11432432432432,1.58111111111111,2.748,1.94666666666667,1.4,1.79,0.56,3.62,3.5,1.88,1.88,2.12,2.12
"49-9094",2.86264864864865,1.87555555555556,2.713,2.3425,2.48,3.43,0.19,3.75,3.12,2.12,2.38,2.25,2.5
"49-9095",3.40027027027027,2.93222222222222,3.528,2.88916666666667,3.75,3.93,1.2,3.5,3.5,2.75,2.88,3,2.75
"49-9096",2.60005405405405,2.32222222222222,2.778,2.5025,1.71,3.48,0.1,2.75,3.25,1.88,2.25,2.25,2
"49-9097",2.79643243243243,2.10111111111111,2.952,2.82583333333333,2.36,2.99,0.08,3.63,3.38,1.75,2.13,2.12,2.25
"49-9098",2.44010810810811,2.58333333333333,2.736,2.53166666666667,3.03,3.41,0.23,3.12,3,1.5,2,1.88,2.25
"49-9099",3.04540540540541,2.07,2.95,2.665,3.43,3.09,0.06,3,3,1.88,2.75,2.25,2
"51-1011",2.94713513513513,1.45777777777778,2.576,2.18833333333333,3.76,1.52,0,3,2.88,3.12,3.5,3.12,3.75
"51-2011",2.79367567567568,2.12333333333333,2.75,2.585,2.51,2.4,0.52,3.88,3.25,2.25,2.5,2.25,2.25
"51-2021",2.43713513513514,1.51444444444444,2.409,1.74916666666667,3.19,2,0.9,3.25,3.12,1.12,0.88,1.25,2.25
"51-2022",2.30664864864865,1.36,2.55,1.865,2.56,2.07,0,3.75,3.25,1.88,2.12,1.88,2.5
"51-2023",2.2692972972973,1.40111111111111,2.138,1.83416666666667,1.92,2.46,0.32,3.75,3.25,1.62,2,1.62,1.75
"51-2031",2.50454054054054,1.84777777777778,2.725,2.39666666666667,1.78,2.86,0,3.25,3.25,2,2,2,2.12
"51-2041",2.40994594594595,1.93111111111111,2.499,1.95916666666667,2.1,2.85,0.1,3,3,1.75,1,2.12,2.25
"51-2091",2.61410810810811,2.28111111111111,2.979,2.55416666666667,2.54,2.6,0.2,3.13,3.38,2.38,2.38,2.5,2.38
"51-2092",2.21140540540541,1.65222222222222,2.575,2.02,1.45,1.61,0,3.12,2.88,1.62,1.88,2.25,2.5
"51-2093",2.12097297297297,0.207777777777778,2.675,2.095,1.4,1.77,0,4.75,3.25,0.88,2.25,1.88,2.38
"51-3011",2.20432432432432,1.30555555555556,2.062,1.6975,2.13,1.5,1.09,3,2.88,1.88,2.62,1.75,2.62
"51-3021",2.44637837837838,1.91888888888889,2.598,1.94583333333333,2.13,1.34,0.05,3.12,3.25,2.75,2,2.88,2.88
"51-3022",2.60340540540541,1.92777777777778,2.477,1.95833333333333,3.43,2.15,1.37,2.88,2.75,2.12,2.12,2.12,2.38
