,OCC_CODE,cognitive_abilities,physical_abilities,psychomotor_abilities,sensory_abilities,assisting_and_caring,cramped_work_space,fine_arts,finger_dexterity,manual_dexterity,Negotiation,Originality,Persuasion,social_perceptiveness,GP_pred_0,GP_pred_1,prob_class_new
315,29-2033,2.90810810810811,1.4466666666666699,2.151,1.8233333333333301,5.39,2.12,0.05,2.88,2.88,2.38,2.75,2.75,3.62,0.8336063014361343,0.16639369856386566,3) Low
316,29-2034,2.9139999999999997,2.02666666666667,2.498,2.0416666666666696,5.97,2.51,0.24,3.12,2.88,2.25,2.75,2.62,3.38,0.8297710993703049,0.1702289006296951,3) Low
317,29-2035,2.93259459459459,1.44222222222222,2.5989999999999998,1.9475,5.46,1.44,0.38,3.0,3.0,2.88,3.0,3.0,3.12,0.8548327968259173,0.14516720317408272,3) Low
318,29-2041,3.44459459459459,2.45888888888889,3.213,2.95916666666667,5.99,3.4,0.65,3.62,3.5,2.75,3.0,3.0,3.75,0.91414295762047,0.08585704237952996,3) Low
319,29-2051,2.5824864864864905,1.51333333333333,2.036,1.885,4.61,1.62,0.08,2.5,2.38,2.25,3.0,2.88,3.0,0.7439228124129045,0.2560771875870955,3) Low
320,29-2052,2.54508108108108,1.36222222222222,1.662,1.8633333333333302,4.48,1.7,0.43,3.0,2.88,1.75,2.12,2.38,2.62,0.40841523277083525,0.5915847672291648,2) Medium
321,29-2053,2.7667027027027,1.97222222222222,1.8719999999999999,1.8766666666666698,5.86,2.27,0.41,2.62,2.12,3.25,3.0,3.25,4.38,0.9343108621861802,0.0656891378138198,3) Low
322,29-2054,3.1192972972973,1.62444444444444,2.299,2.02166666666667,6.43,2.85,0.53,3.25,2.75,2.38,2.88,3.0,3.5,0.8836498402260986,0.1163501597739014,3) Low
323,29-2055,2.8758918918918903,1.8766666666666698,2.687,2.22,5.38,3.09,0.0,3.88,3.62,2.25,2.5,2.5,3.0,0.6943290473377033,0.3056709526622967,2) Medium
324,29-2056,2.8504324324324304,1.86222222222222,2.45,1.97,5.47,2.88,0.0,3.12,3.0,2.62,2.88,2.88,3.38,0.8588394930426375,0.14116050695736249,3) Low
325,29-2057,2.63481081081081,1.08222222222222,1.574,1.7175,5.17,1.57,0.0,3.25,2.5,2.0,2.12,2.38,2.88,0.42229315222479613,0.5777068477752039,2) Medium
326,29-2061,2.9271351351351402,2.29111111111111,2.401,1.9575,6.19,1.94,0.26,3.25,2.88,3.0,2.88,3.12,4.0,0.8937337066513464,0.10626629334865356,3) Low
327,29-2071,2.07578378378378,0.6244444444444439,1.0490000000000002,1.28083333333333,2.29,1.69,0.18,2.88,2.12,1.88,2.5,1.75,2.5,0.0733971862106273,0.9266028137893727,1) High
328,29-2081,2.654,0.5144444444444439,2.112,1.7925,3.67,1.22,0.23,3.25,3.0,2.88,2.75,3.12,3.12,0.6120947757144108,0.38790522428558916,2) Medium
329,29-2091,3.2552972972973,1.2211111111111101,2.101,1.9691666666666698,5.42,2.42,0.39,3.5,3.12,2.75,3.5,3.25,3.88,0.9484683271168706,0.05153167288312943,3) Low
330,29-2092,2.8597297297297297,0.19444444444444395,1.6380000000000001,2.1666666666666696,5.24,1.0,0.71,3.38,3.0,3.0,2.75,3.38,3.25,0.8191301698614097,0.18086983013859026,3) Low
331,29-2099,2.84195945945946,1.63166666666667,2.29625,1.975625,5.555,2.63,0.125,3.4375,2.7475,2.28,2.785,2.4975,3.285,0.7661187988453548,0.23388120115464517,3) Low
332,29-9011,3.3808108108108104,0.764444444444444,1.3259999999999998,2.385,3.86,2.27,0.59,2.62,1.38,3.12,3.25,3.75,3.88,0.9065604715685822,0.09343952843141778,3) Low
333,29-9012,3.25627027027027,1.2511111111111102,1.402,2.1441666666666697,4.45,2.2,0.65,2.5,1.75,3.0,3.0,3.0,3.12,0.8089482394658489,0.19105176053415107,3) Low
334,29-9091,3.0542162162162203,2.09666666666667,2.036,2.02,5.59,2.01,0.24,3.12,2.88,2.38,3.25,3.12,3.75,0.9182193047448663,0.08178069525513365,3) Low
335,29-9092,2.66297297297297,0.0133333333333333,0.237,1.615,5.17,1.04,0.0,2.25,0.0,3.0,3.12,3.0,4.0,0.6528339319308998,0.3471660680691002,2) Medium
336,29-9099,3.06097297297297,1.44444444444444,1.999,1.885,5.81,3.13,0.59,3.0,2.25,2.62,3.12,3.25,4.62,0.9394397776846972,0.06056022231530278,3) Low
337,31-1011,2.39432432432432,2.18111111111111,1.825,1.8433333333333302,5.31,1.88,0.38,3.0,2.38,2.75,2.88,2.88,3.25,0.817018712754134,0.18298128724586604,3) Low
338,31-1013,2.42654054054054,2.1388888888888897,2.075,1.9591666666666698,5.46,2.66,0.27,2.5,2.0,2.88,2.75,3.0,4.0,0.8823924077387346,0.11760759226126538,3) Low
339,31-1014,2.3630270270270297,2.2077777777777796,1.8359999999999999,1.6966666666666699,4.43,2.66,0.74,2.75,2.5,2.0,2.25,2.12,3.12,0.5654045077131826,0.4345954922868174,2) Medium
340,31-1015,2.16875675675676,2.69444444444444,1.9509999999999998,1.6033333333333302,5.11,3.3,0.07,2.38,2.5,1.62,2.0,1.5,2.5,0.4360222087857011,0.5639777912142989,2) Medium
341,31-2011,2.7329189189189202,1.66555555555556,1.925,1.6766666666666699,5.41,2.83,0.47,2.88,2.62,3.12,3.0,3.25,3.75,0.9332310674144537,0.06676893258554628,3) Low
342,31-2012,2.58232432432432,2.22222222222222,1.725,1.6766666666666699,5.36,1.72,0.24,2.88,2.5,2.38,2.75,3.0,3.38,0.808261753270358,0.19173824672964201,3) Low
343,31-2021,2.6212972972973,1.99777777777778,1.911,1.7291666666666698,4.77,2.37,0.26,2.88,2.62,2.12,2.88,3.0,3.75,0.856716907712098,0.14328309228790204,3) Low
344,31-2022,2.4475135135135098,2.0,2.125,1.6566666666666698,4.9,2.27,0.72,2.75,2.75,2.12,2.0,2.38,3.5,0.6573811004676031,0.3426188995323969,2) Medium
345,31-9011,2.19005405405405,2.3322222222222204,1.636,1.24,4.43,1.33,0.31,2.88,3.12,1.75,2.75,1.88,3.25,0.6016989199339093,0.39830108006609066,2) Medium
346,31-9091,2.66475675675676,1.64,2.4,1.8008333333333302,4.73,3.47,0.11,3.12,3.0,2.75,2.38,2.88,3.0,0.7190475784193495,0.2809524215806505,3) Low
347,31-9092,2.7647567567567597,1.30666666666667,1.626,1.7816666666666698,5.31,1.68,0.29,3.0,2.12,2.38,2.62,2.88,3.62,0.7508777026499729,0.2491222973500271,3) Low
348,31-9093,2.86708108108108,1.76222222222222,2.549,2.14666666666667,3.76,2.13,0.65,3.25,3.0,1.38,2.0,1.62,2.62,0.24405176375728388,0.7559482362427161,1) High
349,31-9094,1.85518918918919,0.0277777777777778,1.063,1.4791666666666698,2.33,1.2,0.0,2.88,2.0,1.25,1.62,1.38,2.75,0.03875377468932584,0.9612462253106742,1) High
350,31-9095,2.5069729729729704,1.33444444444444,1.4,1.5733333333333301,4.33,1.44,0.0,2.88,2.12,1.62,1.5,1.75,2.88,0.14359080561166593,0.8564091943883341,1) High
351,31-9096,2.55837837837838,1.87555555555556,2.25,1.7491666666666699,4.6,2.45,0.33,2.88,2.75,2.12,2.0,2.12,3.12,0.4695735758440591,0.5304264241559409,2) Medium
352,31-9097,2.9254054054054097,1.47222222222222,1.975,1.7916666666666698,5.32,2.77,0.76,3.38,3.0,1.75,2.12,2.5,3.25,0.6914686518315989,0.3085313481684011,2) Medium
353,31-9099,2.61554054054054,0.91,1.693,1.9270833333333302,4.91,1.595,0.285,2.935,2.56,2.37,2.25,2.625,3.435,0.616679408103181,0.383320591896819,2) Medium
354,33-1011,3.07827027027027,2.61111111111111,2.101,2.46833333333333,4.7,2.2,0.04,2.38,2.38,3.12,3.25,3.5,3.88,0.9392424883503736,0.060757511649626395,3) Low
355,33-1012,3.46232432432432,2.13666666666667,2.5989999999999998,2.88416666666667,5.13,2.71,0.4,2.62,2.75,3.5,3.38,4.0,4.0,0.9717736314993317,0.028226368500668286,3) Low
356,33-1021,3.6346486486486502,2.54777777777778,2.925,2.9775,5.485,3.1,0.315,2.815,3.06,3.0,3.5,3.44,3.69,0.9619480762760304,0.038051923723969594,3) Low
357,33-2011,3.3864864864864903,3.1811111111111097,3.463,3.255,5.76,3.4,0.57,3.25,3.75,3.0,3.0,3.0,3.06,0.9012492303386352,0.09875076966136476,3) Low
358,33-2021,3.30102702702703,1.74333333333333,2.15,2.78625,4.535,2.75,0.15,2.625,2.31,2.815,2.94,3.065,3.185,0.8275735811573668,0.1724264188426332,3) Low
359,33-2022,3.32405405405405,1.8188888888888899,2.151,2.40416666666667,4.63,2.62,0.09,2.62,2.38,2.88,3.0,3.12,2.88,0.8076217353997208,0.19237826460027918,3) Low
360,33-3011,2.15745945945946,2.02666666666667,1.238,1.4258333333333302,3.82,1.54,0.05,1.25,1.0,2.62,0.88,2.5,3.25,0.13097813591946306,0.8690218640805369,1) High
361,33-3012,2.7487567567567597,2.73555555555556,2.5639999999999996,2.7,4.21,1.98,0.02,2.75,2.88,3.0,2.38,3.12,3.75,0.7361290834101055,0.2638709165898945,3) Low
362,33-3021,3.0599351351351296,1.4133333333333302,1.915,2.46283333333333,3.4539999999999997,2.4859999999999998,0.37200000000000005,2.6,2.074,3.1239999999999997,3.002,3.174,3.502,0.8002295600643947,0.19977043993560528,3) Low
363,33-3031,3.3209189189189203,2.1122222222222202,2.55,2.8958333333333304,4.25,2.48,0.39,2.5,2.5,2.88,3.0,3.38,3.5,0.903478968263812,0.09652103173618798,3) Low
364,33-3041,2.6921081081081097,1.74777777777778,2.099,2.32083333333333,4.92,1.86,1.6,2.25,2.12,2.12,2.25,2.12,2.88,0.6498342035296787,0.3501657964703213,2) Medium
365,33-3051,3.2081351351351404,2.59055555555556,2.838,2.9429166666666697,5.36,2.5,0.19,2.815,2.88,4.0,3.0,3.815,4.0,0.9410466693423132,0.05895333065768682,3) Low
366,33-3052,3.02372972972973,2.54111111111111,2.6860000000000004,2.9375,4.88,2.6,0.57,2.5,2.75,3.12,3.0,3.38,3.25,0.925811287820693,0.074188712179307,3) Low
367,33-9011,2.7995675675675695,1.9311111111111101,2.227,2.2691666666666697,3.66,2.92,0.02,2.5,2.88,2.5,2.62,2.88,2.88,0.6388210477080634,0.36117895229193664,2) Medium
368,33-9021,2.64562162162162,0.5144444444444439,1.5859999999999999,2.15666666666667,1.49,1.63,0.65,2.25,1.75,2.88,3.12,3.0,3.5,0.4912314167133083,0.5087685832866917,2) Medium
369,33-9031,2.61881081081081,1.02777777777778,1.063,1.8741666666666699,2.88,1.77,0.04,1.75,1.5,2.38,2.12,2.38,2.88,0.13519242279710397,0.864807577202896,1) High
370,33-9032,2.41064864864865,1.9433333333333302,1.6740000000000002,2.26083333333333,3.73,1.1,0.15,1.75,1.62,2.0,2.0,2.5,2.62,0.19311004838493773,0.8068899516150623,1) High
371,33-9091,1.83410810810811,1.4311111111111101,1.501,1.9258333333333302,3.64,1.01,0.0,1.88,1.88,1.38,0.88,1.75,2.5,0.07513816919458804,0.924861830805412,1) High
372,33-9092,2.19789189189189,2.22222222222222,1.4,2.03166666666667,5.15,1.49,0.03,1.25,1.5,2.0,2.0,2.62,3.12,0.5131965769957105,0.48680342300428947,2) Medium
373,33-9093,2.58794594594595,2.26555555555556,2.562,2.32166666666667,2.78,2.56,0.0,2.75,3.0,2.5,2.38,3.0,3.0,0.41142597758909005,0.58857402241091,2) Medium
374,33-9099,2.75172972972973,1.49777777777778,1.8130000000000002,2.1866666666666696,2.51,1.36,0.15,2.25,2.0,2.62,2.75,2.88,3.12,0.335453339890023,0.664546660109977,1) High
375,35-1011,3.0308648648648595,1.62555555555556,2.2,1.8333333333333302,3.11,2.63,1.31,2.88,3.0,3.5,3.38,3.5,3.75,0.9428178860464413,0.057182113953558655,3) Low
376,35-1012,2.80335135135135,1.66777777777778,2.0,1.77,3.36,2.33,0.3,2.75,2.5,3.0,3.0,3.25,3.62,0.8223759203941654,0.1776240796058346,3) Low
377,35-2011,1.90232432432432,1.6533333333333302,1.499,1.24,1.84,1.64,0.03,2.0,2.5,2.12,2.0,2.12,2.62,0.08252784054172935,0.9174721594582707,1) High
378,35-2012,2.3954054054054104,1.73555555555556,2.213,1.6766666666666699,3.14,1.81,0.2,3.0,3.0,2.0,2.5,2.5,2.88,0.3340870009317882,0.6659129990682118,1) High
379,35-2013,2.1635675675675703,1.79,2.002,1.6866666666666699,2.04,1.29,0.65,3.0,2.88,1.75,3.38,2.62,2.88,0.4852294104599544,0.5147705895400456,2) Medium
380,35-2014,2.43924324324324,1.84888888888889,2.36,1.75,2.66,2.51,0.62,3.0,3.12,2.25,3.0,2.12,2.88,0.49002297333571576,0.5099770266642842,2) Medium
381,35-2015,2.31578378378378,1.79222222222222,1.989,1.6991666666666698,3.0,2.15,0.76,2.88,2.88,2.25,2.38,2.62,2.75,0.3814602809612495,0.6185397190387505,1) High
382,35-2021,2.21113513513514,1.80444444444444,1.889,1.4575,3.19,1.49,0.42,2.75,2.88,1.75,2.12,2.0,2.12,0.14406321199555805,0.855936788004442,1) High
383,35-3011,2.28891891891892,1.95777777777778,2.189,1.9575,2.98,2.08,0.35,3.0,3.0,2.88,2.75,3.0,3.0,0.5693442881495656,0.4306557118504344,2) Medium
384,35-3021,2.16016216216216,1.52777777777778,1.626,1.4691666666666698,2.55,1.95,0.84,1.88,2.0,1.62,1.62,2.0,2.38,0.11002359292785968,0.8899764070721403,1) High
385,35-3022,2.13264864864865,1.5833333333333302,1.5930000000000002,1.6554166666666699,2.405,2.125,0.87,2.935,2.5,2.31,2.25,2.5,2.62,0.19457511628036173,0.8054248837196383,1) High
386,35-3031,2.0901081081081103,2.04111111111111,1.45,1.52,2.94,1.7,0.44,2.38,2.88,2.12,2.12,2.12,2.75,0.2188358324328874,0.7811641675671126,1) High
387,35-3041,1.85259459459459,1.3466666666666698,1.5630000000000002,1.4375,3.25,1.58,0.14,2.25,2.12,1.0,1.75,1.62,2.62,0.11825091777177477,0.8817490822282252,1) High
388,35-9011,2.00794594594595,2.1388888888888897,1.876,1.46666666666667,3.71,1.6,0.39,2.75,3.25,1.62,1.75,1.5,2.25,0.16790860231787974,0.8320913976821203,1) High
389,35-9021,2.00583783783784,1.87444444444444,2.424,1.7608333333333301,2.9,1.58,0.76,2.25,3.5,1.75,1.88,2.0,2.25,0.240061084374247,0.759938915625753,1) High
390,35-9031,2.04167567567568,1.34777777777778,1.001,1.4983333333333302,2.78,1.85,0.41,2.0,1.88,2.62,1.75,2.75,2.88,0.1488590863345962,0.8511409136654038,1) High
391,37-1011,2.71091891891892,1.72222222222222,1.975,1.7816666666666698,3.04,1.82,0.36,2.25,2.25,3.12,2.38,2.88,3.5,0.5012896769602633,0.4987103230397367,2) Medium
392,37-1012,3.0468648648648595,1.95777777777778,2.338,2.2925,2.54,2.18,0.34,2.62,2.75,3.0,3.12,3.25,3.62,0.7834454250100862,0.21655457498991382,3) Low
393,37-2011,1.94118918918919,1.97,1.6869999999999998,1.5316666666666698,2.11,2.32,0.33,2.5,2.12,1.5,1.62,1.88,2.12,0.04345666402639381,0.9565433359736062,1) High
394,37-2012,1.96102702702703,1.90222222222222,1.537,1.3125,3.11,1.97,0.01,2.12,2.38,1.62,1.5,1.88,2.12,0.07107007346644423,0.9289299265335558,1) High
395,37-2021,2.6639999999999997,2.09777777777778,2.476,2.5725,2.25,3.52,0.13,2.75,2.88,2.88,2.75,3.0,2.88,0.5117656528769103,0.48823434712308966,2) Medium
396,37-3011,2.19043243243243,2.51222222222222,2.4859999999999998,1.9891666666666699,2.99,2.67,0.5,2.5,3.12,1.38,1.88,1.62,2.0,0.16924287738765997,0.83075712261234,1) High
397,37-3012,2.7204864864864904,1.91555555555556,2.499,2.1475,3.34,2.77,0.13,3.0,3.0,1.75,2.12,2.38,2.5,0.25265133556911223,0.7473486644308878,1) High
398,37-3013,2.6044864864864903,2.9177777777777796,3.2880000000000003,2.59333333333333,2.78,2.66,0.43,3.0,3.75,2.0,2.25,2.12,2.5,0.29256030135962874,0.7074396986403713,1) High
399,39-1011,2.4327027027027004,0.6388888888888891,0.188,1.5608333333333302,2.04,1.72,0.11,0.62,0.38,3.12,3.0,3.12,3.88,0.5430091241751569,0.4569908758248431,2) Medium
400,39-1012,2.53962162162162,1.47333333333333,1.285,1.7683333333333302,3.27,1.36,0.03,2.12,2.12,3.0,2.12,2.75,3.12,0.2646130298334697,0.7353869701665303,1) High
401,39-1021,2.7089189189189202,1.15333333333333,1.1115,1.7191666666666698,4.005,1.145,0.485,1.87,1.5,3.25,3.25,3.5,3.875,0.9038234791395325,0.09617652086046746,3) Low
402,39-2011,2.662,2.23666666666667,2.463,2.3133333333333304,3.48,1.58,0.34,2.75,2.88,2.25,3.25,2.88,3.0,0.748934635728915,0.25106536427108495,3) Low
403,39-2021,2.39421621621622,1.9711111111111101,1.463,1.6341666666666699,3.28,2.93,0.83,2.38,2.25,1.62,1.88,1.75,2.25,0.20019660670732264,0.7998033932926774,1) High
404,39-3011,1.9397837837837801,1.15222222222222,1.4,1.625,2.48,1.39,0.24,2.88,2.75,2.25,1.75,2.38,2.75,0.08019548648348973,0.9198045135165103,1) High
405,39-3012,2.15881081081081,0.61,1.3869999999999998,1.6558333333333302,3.42,1.3,0.36,2.38,2.12,2.0,1.75,2.5,2.88,0.16051504451411347,0.8394849554858865,1) High
406,39-3021,2.19843243243243,0.946666666666667,2.627,2.5433333333333303,1.48,2.19,0.58,3.25,3.0,1.62,2.13,2.12,2.0,0.07723355946916399,0.922766440530836,1) High
407,39-3031,1.98037837837838,1.26555555555556,1.251,1.6458333333333302,2.91,1.22,1.12,1.88,1.88,2.25,2.0,2.5,3.0,0.27840117098287465,0.7215988290171254,1) High
408,39-3091,2.17978378378378,1.33444444444444,1.8730000000000002,1.5008333333333301,3.91,2.36,0.74,2.0,2.12,1.75,1.75,2.5,2.38,0.31352692506538915,0.6864730749346108,1) High
409,39-3092,2.3877297297297297,1.38888888888889,1.7619999999999998,1.6341666666666699,3.01,2.58,4.15,3.0,2.88,2.38,3.12,2.38,3.0,0.772735297569966,0.22726470243003405,3) Low
410,39-3093,1.7016756756756801,1.23666666666667,0.75,1.05166666666667,2.53,1.22,0.28,1.38,1.5,2.0,0.88,2.25,2.62,0.04964398430183792,0.9503560156981621,1) High
411,39-4011,2.95572972972973,1.4988888888888898,2.15,2.03083333333333,4.94,1.8,1.37,3.25,3.25,2.5,2.5,2.38,4.12,0.831697873938424,0.16830212606157602,3) Low
412,39-4021,2.5294054054054103,1.2933333333333301,1.35,1.5941666666666698,5.6,1.68,0.36,1.38,1.5,1.25,1.5,1.88,3.25,0.45607072105002544,0.5439292789499746,2) Medium
413,39-4031,3.13718918918919,1.5,2.263,2.36416666666667,5.06,2.33,0.46,2.5,2.62,3.62,3.0,3.75,4.75,0.9616452171429728,0.0383547828570272,3) Low
414,39-5011,2.16854054054054,1.12444444444444,1.8130000000000002,1.385,3.65,1.54,0.21,3.12,3.0,1.5,2.62,2.0,2.88,0.36241088833293134,0.6375891116670687,1) High
415,39-5012,2.45464864864865,1.57,1.8880000000000001,1.8025,4.3,1.07,0.34,3.75,3.75,2.38,3.12,2.75,3.12,0.7424539655185072,0.2575460344814928,3) Low
416,39-5091,2.52772972972973,1.45777777777778,1.8130000000000002,2.0725,3.04,2.57,3.52,3.38,3.75,2.38,3.88,2.62,3.0,0.8607242559153292,0.1392757440846708,3) Low
417,39-5092,1.8347027027026999,0.264444444444444,1.3619999999999999,1.4991666666666699,2.43,1.24,1.34,3.0,2.38,2.12,2.12,2.12,2.62,0.1640104688997326,0.8359895311002674,1) High
418,39-5093,1.9507027027027,1.3633333333333302,1.3869999999999998,1.26083333333333,3.24,1.78,0.61,2.75,2.88,1.62,1.62,1.62,2.62,0.13359205839310562,0.8664079416068944,1) High
419,39-5094,2.15659459459459,1.11111111111111,1.526,1.5725,4.54,1.81,0.01,2.88,2.88,2.38,2.88,2.5,2.88,0.6639081464984429,0.3360918535015571,2) Medium
420,39-6011,2.49675675675676,2.38888888888889,2.012,2.13416666666667,4.75,1.6,0.55,2.25,2.5,2.12,2.0,2.12,2.38,0.3925713268823756,0.6074286731176244,1) High
421,39-6012,2.53881081081081,0.61,0.6859999999999999,1.6675,4.42,1.42,1.77,1.88,1.12,2.62,3.0,2.75,3.0,0.7763477871499163,0.22365221285008374,3) Low
422,39-7011,2.23897297297297,1.04,0.612,1.4575,3.09,1.95,1.52,1.0,0.62,1.62,2.5,2.12,2.88,0.42019868116889825,0.5798013188311018,2) Medium
423,39-7012,2.59286486486486,0.626666666666667,1.577,2.2108333333333303,3.74,1.24,2.41,2.13,1.75,3.25,3.38,3.38,3.38,0.9230021890487023,0.07699781095129765,3) Low
424,39-9011,2.1952972972973,1.88777777777778,1.5630000000000002,1.91625,4.495,1.725,0.91,2.315,2.19,2.75,3.0,3.065,3.565,0.9014295513558181,0.09857044864418185,3) Low
425,39-9021,2.11583783783784,1.69222222222222,1.4380000000000002,1.6358333333333301,5.24,1.55,0.34,2.38,2.0,2.0,1.88,2.38,3.12,0.46952909015499245,0.5304709098450076,2) Medium
426,39-9031,2.3164864864864905,3.5822222222222204,1.8619999999999999,1.7491666666666699,3.64,1.4,0.88,2.25,3.0,1.75,3.12,3.0,3.38,0.8433939117504679,0.15660608824953215,3) Low
427,39-9032,2.7721621621621604,1.9433333333333302,1.087,1.6766666666666699,4.35,2.04,1.98,2.0,0.75,2.88,3.5,3.12,4.0,0.9318103352939033,0.06818966470609666,3) Low
428,39-9041,2.6822162162162204,1.05333333333333,0.852,1.885,5.11,1.38,1.38,1.75,1.0,3.0,3.0,3.0,3.5,0.8644004779055194,0.13559952209448056,3) Low
429,41-1011,2.7030810810810797,1.68,1.49,1.7816666666666698,3.31,1.82,0.38,2.38,2.0,3.62,3.12,3.62,3.75,0.8771788683505974,0.12282113164940256,3) Low
430,41-1012,2.95983783783784,0.0833333333333333,0.28600000000000003,1.6983333333333301,2.42,1.58,0.69,2.62,0.0,3.75,3.5,3.88,4.0,0.7377319702102909,0.2622680297897091,3) Low
431,41-2011,2.07945945945946,1.57,1.599,1.4791666666666698,2.89,1.02,0.25,2.25,2.12,2.12,2.12,2.12,2.62,0.10586546834906585,0.8941345316509342,1) High
432,41-2012,2.2672972972973,1.2488888888888898,1.699,1.7808333333333302,3.28,1.61,0.0,2.62,2.12,2.12,2.12,2.25,2.12,0.08887074845870302,0.911129251541297,1) High
433,41-2021,2.37178378378378,1.22222222222222,1.699,1.9475,2.71,1.52,0.61,2.0,2.0,2.88,2.12,2.88,2.88,0.25196500213269246,0.7480349978673075,1) High
434,41-2022,2.678,1.7788888888888899,1.6230000000000002,2.12666666666667,3.27,1.3,0.03,2.62,2.38,3.0,2.38,3.25,3.0,0.38065906140107586,0.6193409385989241,1) High
435,41-2031,2.3462702702702702,1.43,1.1640000000000001,1.6033333333333302,2.61,1.43,0.8,2.25,1.88,3.75,2.62,4.0,3.12,0.6387774462323819,0.36122255376761814,2) Medium
436,41-3011,2.62124324324324,0.222222222222222,0.515,1.9791666666666698,2.27,1.24,1.56,1.12,0.0,3.88,3.38,4.0,3.62,0.8167420330458981,0.1832579669541019,3) Low
437,41-3021,2.42994594594595,0.138888888888889,0.25,1.4491666666666698,2.03,1.77,0.05,1.12,0.0,3.38,3.0,3.88,3.0,0.40613018224243547,0.5938698177575645,2) Medium
438,41-3031,2.55227027027027,0.18555555555555606,0.47100000000000003,1.5836111111111102,2.0233333333333303,1.03,0.21333333333333301,1.5433333333333301,0.71,3.5433333333333303,3.0033333333333303,4.08333333333333,3.54,0.5802033865703322,0.4197966134296678,2) Medium
439,41-3041,2.3895135135135095,0.20888888888888898,0.537,1.4791666666666698,2.32,1.0,0.04,1.5,0.75,3.25,3.0,3.5,3.12,0.39333020233763705,0.606669797662363,1) High
440,41-3099,2.56454054054054,0.0277777777777778,0.575,1.5308333333333302,1.4,1.11,0.0,2.0,1.0,3.75,2.75,3.5,3.12,0.22299557647647816,0.7770044235235218,1) High
441,41-4011,2.6820810810810802,0.575555555555556,0.662,1.785,2.075,1.935,0.215,2.06,0.19,3.75,3.31,3.875,3.565,0.6031266805622408,0.39687331943775916,2) Medium
442,41-4012,2.4842162162162205,0.264444444444444,1.062,1.7508333333333301,1.7,1.46,0.15,1.88,1.12,3.88,3.0,3.88,3.38,0.5251668957637534,0.4748331042362466,2) Medium
443,41-9011,2.2672972972973,1.5566666666666698,0.987,1.9483333333333301,2.16,1.86,0.24,1.75,1.38,2.88,3.0,3.88,3.25,0.6128843035995146,0.3871156964004854,2) Medium
444,41-9012,1.2708648648648602,1.68444444444444,0.5529999999999999,1.1375,0.27,1.47,1.4,0.63,0.38,1.88,2.25,1.88,2.5,0.17468963259113934,0.8253103674088607,1) High
445,41-9021,2.6472972972972997,0.19444444444444395,0.261,1.4375,2.51,1.16,0.51,0.25,0.12,4.0,2.62,4.0,3.12,0.5413666163050834,0.4586333836949166,2) Medium
446,41-9022,2.9147027027026997,0.45888888888888896,0.988,2.20916666666667,3.86,1.43,0.57,1.5,0.62,3.88,2.75,4.12,3.75,0.8124136330352485,0.1875863669647515,3) Low
447,41-9031,2.97,0.0277777777777778,0.912,1.9891666666666699,2.03,1.31,0.0,2.12,1.75,4.0,3.75,4.25,4.0,0.8934370706325581,0.10656292936744194,3) Low
448,41-9041,1.7405405405405399,0.0833333333333333,0.364,1.01166666666667,1.57,1.22,0.15,1.5,0.88,2.62,2.38,3.5,2.75,0.14095958502127814,0.8590404149787219,1) High
449,41-9091,2.06627027027027,0.278888888888889,0.18600000000000003,1.1975,1.83,1.46,0.29,0.75,0.25,3.38,3.0,4.0,3.12,0.5160149354595056,0.4839850645404944,2) Medium
450,43-1011,2.6826486486486503,0.472222222222222,0.462,1.7725,3.63,1.11,0.04,2.12,0.5,3.62,3.38,3.5,3.88,0.7623506867132619,0.2376493132867381,3) Low
451,43-2011,2.06248648648649,0.0833333333333333,1.013,1.5725,3.76,1.11,0.01,2.12,1.75,1.88,1.75,1.88,2.88,0.12006893439479427,0.8799310656052057,1) High
452,43-2021,1.95237837837838,0.0144444444444444,0.9640000000000001,1.46,2.65,1.11,0.11,2.75,1.5,1.88,2.0,2.0,2.88,0.04940877671629096,0.950591223283709,1) High
453,43-3011,2.10810810810811,0.0822222222222222,0.38799999999999996,1.5408333333333302,2.12,1.0,0.0,1.75,0.5,3.12,2.62,3.62,3.0,0.18412188574893662,0.8158781142510634,1) High
454,43-3021,2.1197567567567597,0.0411111111111111,0.542,1.2025,3.005,1.285,0.0,2.12,0.87,2.125,2.12,2.125,2.565,0.053159468044668756,0.9468405319553312,1) High
455,43-3031,2.21054054054054,0.19444444444444395,0.851,1.375,1.72,1.45,0.0,2.38,1.75,2.38,1.75,2.12,2.75,0.027903556517230754,0.9720964434827692,1) High
456,43-3041,2.1113513513513498,1.02555555555556,1.012,1.3541666666666698,2.86,1.64,0.18,2.12,2.0,2.75,1.5,2.0,2.75,0.06372003747469535,0.9362799625253047,1) High
457,43-3051,2.2070270270270296,0.111111111111111,0.436,1.22916666666667,2.61,1.13,0.04,1.75,0.62,1.88,2.25,2.0,2.75,0.06120086530199842,0.9387991346980016,1) High
458,43-3061,2.4027027027027,0.0833333333333333,0.17600000000000002,1.16583333333333,2.38,1.25,0.09,0.25,0.5,3.62,2.38,2.38,3.0,0.2596760917680285,0.7403239082319715,1) High
459,43-3071,2.45081081081081,0.806666666666667,1.538,1.6341666666666699,3.04,1.55,0.22,2.38,2.12,2.12,2.25,2.38,3.0,0.19653951895281807,0.8034604810471819,1) High
