,OCC_CODE,cognitive_abilities,physical_abilities,psychomotor_abilities,sensory_abilities,assisting_and_caring,cramped_work_space,fine_arts,finger_dexterity,manual_dexterity,Negotiation,Originality,Persuasion,social_perceptiveness,GP_pred_0,GP_pred_1,prob_class_new
751,53-6011,2.29935135135135,1.62777777777778,2.615,2.7108333333333303,2.81,1.38,0.21,2.5,2.5,2.25,2.0,2.38,2.38,0.0974544448740744,0.9025455551259256,1) High
752,53-6021,2.0912972972973,1.91444444444444,2.2359999999999998,2.44916666666667,2.8,1.37,0.43,2.5,2.5,2.0,1.75,1.75,2.38,0.06874381641989658,0.9312561835801034,1) High
753,53-6031,2.682,2.18111111111111,2.623,2.37666666666667,3.1,2.99,0.01,3.12,3.0,2.12,1.88,2.25,2.25,0.13793280831407628,0.8620671916859237,1) High
754,53-6041,2.7597837837837798,0.7766666666666671,1.912,2.36416666666667,1.86,1.61,0.17,2.62,2.25,2.88,3.0,2.88,3.0,0.3229977432425244,0.6770022567574756,1) High
755,53-6051,2.8144324324324304,1.50851851851852,2.2373333333333303,2.4833333333333303,1.8966666666666698,2.86333333333333,0.196666666666667,2.8333333333333304,2.5833333333333304,2.2933333333333303,2.46,2.46,2.9166666666666696,0.20993186788837193,0.7900681321116281,1) High
756,53-6061,1.99102702702703,1.87555555555556,1.624,2.0433333333333303,3.87,1.82,0.29,1.88,2.0,2.12,2.12,2.75,3.12,0.43792042839426415,0.5620795716057359,2) Medium
757,53-7011,2.51264864864865,2.05555555555556,2.8110000000000004,2.53166666666667,3.38,2.15,0.01,3.0,3.12,2.12,2.12,2.12,2.62,0.1966510758422828,0.8033489241577172,1) High
758,53-7021,2.67356756756757,1.83222222222222,3.324,2.98916666666667,2.22,2.82,0.19,3.0,3.12,2.0,2.12,2.0,2.0,0.09898003148009593,0.9010199685199041,1) High
759,53-7031,2.2464324324324303,1.71,3.05,2.54083333333333,1.75,2.13,0.15,2.88,2.88,1.88,1.75,2.0,2.38,0.048289793803974135,0.9517102061960259,1) High
760,53-7032,2.72454054054054,2.15444444444444,3.523,3.1875,3.36,2.62,0.06,3.12,3.12,2.25,2.12,2.75,2.62,0.3020098825057289,0.6979901174942711,1) High
761,53-7033,2.35659459459459,2.19555555555556,3.075,2.51,1.62,4.06,0.0,2.88,3.5,1.88,1.25,1.88,2.25,0.12199754333016699,0.878002456669833,1) High
762,53-7041,2.6415135135135097,1.9888888888888898,2.94,2.51333333333333,3.1,4.2,0.09,2.75,2.75,2.12,2.13,2.25,2.25,0.29886719802112793,0.7011328019788721,1) High
763,53-7051,2.50740540540541,2.16444444444444,3.051,2.59416666666667,3.08,3.17,0.53,2.88,3.12,1.5,1.75,1.62,1.88,0.15395730180114242,0.8460426981988576,1) High
764,53-7061,1.97881081081081,1.72333333333333,2.188,1.5208333333333302,1.75,2.69,0.59,2.25,2.75,0.88,0.62,1.12,2.0,0.07505906058622713,0.9249409394137729,1) High
765,53-7062,2.14718918918919,2.52777777777778,2.7110000000000003,2.19666666666667,1.58,2.52,0.12,2.88,3.0,1.62,1.75,1.75,2.12,0.05060406586778754,0.9493959341322125,1) High
766,53-7063,2.12637837837838,2.02777777777778,2.775,1.9066666666666698,2.35,1.92,0.27,2.88,3.0,1.62,1.75,1.88,2.12,0.06091539543581348,0.9390846045641865,1) High
767,53-7064,2.158,1.9033333333333302,1.999,1.4575,3.58,1.73,0.6,2.62,3.5,1.0,1.0,1.0,1.62,0.14334124857191455,0.8566587514280855,1) High
768,53-7071,2.9104324324324304,1.8211111111111102,2.847,2.40666666666667,2.15,2.81,0.17,3.12,3.12,2.12,2.12,2.12,2.38,0.11148615108550075,0.8885138489144992,1) High
769,53-7072,2.87756756756757,2.0988888888888897,2.89,2.5225,2.39,3.0,0.0,3.0,3.13,1.88,2.13,2.38,2.12,0.13919389437955942,0.8608061056204406,1) High
770,53-7073,2.67735135135135,2.36111111111111,2.7880000000000003,1.9575,2.97,3.23,0.06,2.88,3.0,1.0,1.75,1.25,2.12,0.13472879791356718,0.8652712020864328,1) High
771,53-7081,2.4012432432432402,1.98666666666667,2.614,2.49083333333333,2.45,2.51,0.0,2.25,2.88,2.12,2.0,2.12,2.25,0.1215028124413493,0.8784971875586507,1) High
772,53-7111,2.12232432432432,1.7111111111111101,2.74,1.93083333333333,3.68,4.35,0.06,1.63,3.0,1.25,1.38,1.25,2.12,0.33441951039702644,0.6655804896029736,1) High
773,53-7121,2.84864864864865,2.70888888888889,3.111,2.78083333333333,3.11,3.6,0.11,3.12,3.12,2.12,2.12,2.12,2.12,0.21779635029474775,0.7822036497052522,1) High
